,word,value
71,young,686
131,life,571
28,family,446
158,man,441
129,woman,415
66,friends,359
327,love,357
141,find,332
802,documentary,309
1186,series,285
994,takes,274
11,help,266
173,group,249
698,save,222
414,school,214
559,lives,208
2181,girl,206
19,teen,196
528,years,176
991,mysterious,175
36,team,173
625,true,172
0,father,160
340,falls,156
123,best,151
282,fight,148
652,returns,144
1300,daughter,140
4017,stories,137
492,boy,136
48,women,132
65,student,131
3263,stand-up,130
439,son,128
150,crime,128
543,mother,126
188,police,124
1469,comedy,123
984,journey,123
230,couple,123
3302,secret,122
2528,personal,120
752,story,119
1317,special,119
748,turns,119
1332,murder,119
7,death,119
1377,meets,118
487,film,116
105,American,116
